t,r,phi,p,l,x,y,U
0.000000E+00,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
1.000000E-01,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
2.000000E-01,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
3.000000E-01,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
4.000000E-01,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
5.000000E-01,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
6.000000E-01,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
7.000000E-01,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
8.000000E-01,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
9.000000E-01,9.025418E-01,-8.300190E-01,0.000000E+00,0.000000E+00,6.090909E-01,-6.660255E-01,-2.945225E+00
1.000000E+00,9.025418E-01,-8.300461E-01,-8.334559E-10,5.883817E-11,6.090729E-01,-6.660420E-01,-2.945221E+00
1.100000E+00,9.025418E-01,-8.300461E-01,-8.334559E-10,5.883817E-11,6.090729E-01,-6.660420E-01,-2.945221E+00
1.200000E+00,9.025418E-01,-8.300461E-01,-8.334559E-10,5.883817E-11,6.090729E-01,-6.660420E-01,-2.945221E+00
1.300000E+00,9.025418E-01,-8.300461E-01,-8.334559E-10,5.883817E-11,6.090729E-01,-6.660420E-01,-2.945221E+00
1.400000E+00,9.025418E-01,-8.300461E-01,-8.334559E-10,5.883817E-11,6.090729E-01,-6.660420E-01,-2.945221E+00
1.500000E+00,9.025418E-01,-8.300461E-01,-8.334559E-10,5.883817E-11,6.090729E-01,-6.660420E-01,-2.945221E+00
1.600000E+00,9.025418E-01,-8.300461E-01,-8.334559E-10,5.883817E-11,6.090729E-01,-6.660420E-01,-2.945221E+00
