x,y,d/dx,d/dy
-9.200000E-01,-7.999992E-02,-2.586408E+10,3.468754E+10
-9.200000E-01,4.000008E-02,-5.766791E+10,-6.405161E+10
-9.200000E-01,1.600001E-01,-4.074176E+09,-1.493194E+10
-9.200000E-01,2.800001E-01,1.105209E+09,-5.662203E+09
-9.200000E-01,4.000001E-01,1.140038E+08,-1.595338E+09
-9.200000E-01,5.200001E-01,-2.122859E+09,1.486003E+09
-9.200000E-01,6.400001E-01,-4.515965E+09,4.433314E+09
-9.200000E-01,7.600000E-01,-6.707966E+09,7.425447E+09
-9.200000E-01,8.800001E-01,-8.585612E+09,1.046944E+10
-9.200000E-01,1.000000E+00,-1.013901E+10,1.353377E+10
-9.200000E-01,1.120000E+00,-1.140088E+10,1.658706E+10
-9.200000E-01,1.240000E+00,-1.241706E+10,1.960760E+10
-9.200000E-01,1.360000E+00,-1.323324E+10,2.258319E+10
-8.000000E-01,-1.280000E+00,-1.041675E+10,-1.665368E+10
-8.000000E-01,-1.160000E+00,-9.398957E+09,-1.337934E+10
-8.000000E-01,-1.040000E+00,-8.091449E+09,-1.003881E+10
-8.000000E-01,-9.200000E-01,-6.412804E+09,-6.667972E+09
-8.000000E-01,-8.000000E-01,-4.274766E+09,-3.330827E+09
-8.000000E-01,-6.799999E-01,-1.608233E+09,-1.189709E+08
-8.000000E-01,-5.599999E-01,1.571159E+09,2.880931E+09
-8.000000E-01,-4.399999E-01,5.018333E+09,5.702515E+09
-8.000000E-01,-3.199999E-01,7.960339E+09,8.684336E+09
-8.000000E-01,-1.999999E-01,8.566200E+09,1.118318E+10
-8.000000E-01,-7.999992E-02,4.508813E+09,2.883712E+09
-8.000000E-01,4.000008E-02,2.843578E+09,-1.045787E+10
-8.000000E-01,1.600001E-01,7.754961E+09,-9.752551E+09
-8.000000E-01,2.800001E-01,8.554160E+09,-6.653408E+09
-8.000000E-01,4.000001E-01,6.117502E+09,-3.832201E+09
-8.000000E-01,5.200001E-01,2.713799E+09,-9.071032E+08
-8.000000E-01,6.400001E-01,-6.000399E+08,2.241313E+09
-8.000000E-01,7.600000E-01,-3.446559E+09,5.547801E+09
-8.000000E-01,8.800001E-01,-5.755365E+09,8.916040E+09
